RH
75.65
74.6
77.7
71.45
74.05
73.65
68
68.15
67.95
71.8
74.7
74.55
74.7
76.4
75.95
76.15
75.45
75.25
78.1
79.25
78.15
76.25
66.85
67.05
68.1
68.65
64.35
64.65
71.6
81.9
77.65
66.95
64.05
61.95
62.3
66.35
71.4
80.1
73.65
68.65
65.2
62.1
54.75
54.95
55.8
59.75
61.9
60.1
58.55
74.25
76.45
74.7
76.1
72
61.35
69.45
84.2
78.65
75.45
78.45
75.7
72.75
84.15
73.85
80.9
71.7
76.65
73.3
74.95
80.5
72.9
78.35
71.8
65.6
59.15
73.8
78.1
84.5
81.6
84.15
80
77.7
76.45
77.85
83.55
61.3
58.25
57.35
64.45
60.5
59.25
67.9
67.15
74.15
72.75
77.15
79.55
68.3
73.75
82.95
80.55
73.25
74.6
73.15
76.4
76.5
81.85
85
80.65
81.8
79.4
86
81.05
86.2
82.55
80.1
79.45
81.25
77.25
72.45
79.5
76.35
68.25
64.1
65.35
79.85
85
74.3
77.9
69.75
73.55
77.6
74.4
77.45
78.9
74.6
70.65
75
75.85
82.7
67.85
71
75.95
77.2
82.45
76.8
73.1
71.4
79
76.5
69
64.35
58
83.85
79.25
83
82.25
77.7
77.1
71.45
74.95
81.8
89.9
84.45
82.35
88.95
82.6
86.45
86.05
83.1
90.35
87.45
88.7
80.2
85.6
82.05
80.15
93.75
93.5
87.3
83.2
85.35
85.25
86.7
87.15
85.6
81.45
82.8
86.15
84.65
83.9
82.6
87.65
86.4
81.85
84
81.6
77.55
82.15
84.5
89.3
82.45
81.75
82.55
82.45
85.3
85.75
86.25
84.65
90.05
81.85
85.9
88.4
86.3
83.7
88.4
84.35
81.1
82.5
87.3
86.25
86.8
91.2
84.05
88.65
87.65
85.45
85.05
82.2
83.45
88.25
88.9
86.1
91.8
84.75
82.5
90.75
89.05
84.2
89.5
93.45
91.15
87
84.55
80.2
90.65
84.7
93.05
84.75
79.5
72.8
68.65
71.65
79.15
80.25
87.65
87
80.3
87.3
85.4
83.65
83
76.9
81.9
86.55
86
90.55
87.4
81.65
89.75
84.25
84.6
87.75
89.8
90.1
93.05
92.2
86.5
84.5
90.75
87.8
86.9
83.15
90.8
90.15
96.35
84.15
84.7
92.1
88.15
89.8
86.8
89.9
88.65
87.15
87.4
85.75
78.8
82
89.75
86.55
87.05
88.9
83.9
81.2
80.1
85.5
84.35
87.05
81.65
82.9
85.25
75.9
84.8
81.7
78.4
79.9
80.6
83.45
84.2
80.25
80.15
81.95
79.3
81.3
85.9
84.65
90.8
83.55
86.25
89.2
83
78.6
82.7
84.65
84
89.1
82.7
87.25
86.65
88.35
80.35
84.55
83.25
85.25
86.3
87.3
86.25
75.9
81.4
74.25
75.45
86.45
85.65
82.5
89.55
90.95
84.5
88.75
84.5
86.5
84.65
84.35
80.5
87.75
85.55
85.3
86.45
86.85
85.3
82.45
80.3
81.55
77.95
85.5
75.95
78
77.3
73.95
72.2
79.15
75.65
75.95
76.4
78.05
84.7
81.25
86.8
78.9
72.8
79.8
76.4
78.45
73.85
72.5
83.2
80.2
80.45
72.15
73.4
73.3
73.9
79.95
79.4
83.3
75.65
81.7
84.85
83.45
72.2
74.35
77.45
69.65
74.75
85.75
64.2
68.25
75.4
67.95
65.3
82.4
88.55
86.3
75.15
82.8
88.85
77.7
81.8
76.9
85.7
74.6
74.25
75.15
84.9
75.9
70.05
77
81.65
75.8
71.9
71.2
83.15
79.7
71.75
63.7
59.05
59.75
63.1
63.25
82.05
76.8
72.95
77.5
84.15
